timestamp,date,Зарница,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с","Осадки за 12 часов, мм",Количество облаков увеличилось,Ливневый дождь,"Осадки за 24 часа, мм",Количество облаков уменьшилось,Дымка (видимость больше 1 км),Ливневой дождь слабый,"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Ливневой дождь умеренный или сильный,"Гроза, но без осадков","Температура воздуха, °C","Гроза, дождь слабый","Относительная влажность, %","Минимальная температура, °C",Количество облаков не изменилось,Направление ветра,Балл общей облачности,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с"
1600754400,"Вторник, 22 сентября
06:00 (UTC)",,,,,,,,,,,20,746,,,15.2,,65.6,6.7,,северо-западный,0,,,1
1600765200,"Вторник, 22 сентября
09:00 (UTC)",,,,,,,,,,,20,746,,,22.9,,37.1,,,северный,0,,,2
1600776000,"Вторник, 22 сентября
12:00 (UTC)",,,,,,,,,,,20,745,,,26.9,,24.3,,,северо-восточный,0,,,2
1600786800,"Вторник, 22 сентября
15:00 (UTC)",,,,0,,,,,,,20,745,,,20.3,,42.6,,,,0,,27.3,0
1600797600,"Вторник, 22 сентября
18:00 (UTC)",,,,,,,,,,,20,745,,,13.3,,65.6,,,восточный,0,,,1
1600808400,"Вторник, 22 сентября
21:00 (UTC)",,,,,,,,,,,20,745,,,12.9,,78.7,,,юго-восточный,0,,,1
1600819200,"Среда, 23 сентября
00:00 (UTC)",,,,,,,,,,,20,745,,,12.3,,78.1,,,юго-восточный,0,,,2
1600830000,"Среда, 23 сентября
03:00 (UTC)",,,,0,,,0,,,,20,744,,,12.7,,77.1,12.0,,южный,0,,,3
1600840800,"Среда, 23 сентября
06:00 (UTC)",,,,,,,,,,,20,744,,,19.0,,57.0,,,южный,0,,,2
1600851600,"Среда, 23 сентября
09:00 (UTC)",,,,,,,,,,,20,744,,,25.5,,37.4,,,северный,0,,,1
1600862400,"Среда, 23 сентября
12:00 (UTC)",,,,,,,,,,,20,743,,,28.2,,23.0,,,северный,0,,,1
1600873200,"Среда, 23 сентября
15:00 (UTC)",,,,0,,,,,,,20,742,,,22.6,,39.4,,,западный,0,,29.0,1
1600884000,"Среда, 23 сентября
18:00 (UTC)",,,,,,,,,,,20,742,,,17.6,,63.9,,,южный,0,,,1
1600894800,"Среда, 23 сентября
21:00 (UTC)",,,,,,,,,,,20,742,,,15.4,,69.3,,,южный,0,,,3
1600905600,"Четверг, 24 сентября
00:00 (UTC)",,,,,,,,,,,20,742,,,15.7,,65.2,,,южный,0,,,2
1600916400,"Четверг, 24 сентября
03:00 (UTC)",,,,0,,,0,,,,20,742,,,14.5,,70.5,14.5,,южный,0,,,3
1600927200,"Четверг, 24 сентября
06:00 (UTC)",,,,,,,,,,,20,742,,,20.4,,52.6,,,южный,0,,,2
1600938000,"Четверг, 24 сентября
09:00 (UTC)",,,,,,,,,,,20,742,,,27.8,,33.3,,,северо-западный,0,,,1
